Timestamp,Poids (kg)
2025-03-23T00:22:00.052,-553.000
2025-03-23T00:22:00.068,-553.000
2025-03-23T00:22:00.084,-566.340
2025-03-23T00:22:00.099,-566.340
2025-03-23T00:22:00.115,-591.340
2025-03-23T00:22:00.131,-591.340
2025-03-23T00:22:00.147,-610.220
2025-03-23T00:22:00.163,-624.120
2025-03-23T00:22:00.179,-624.120
2025-03-23T00:22:00.195,-610.780
2025-03-23T00:22:00.211,-610.780
2025-03-23T00:22:00.227,-596.900
2025-03-23T00:22:00.243,-596.900
2025-03-23T00:22:00.259,-603.560
2025-03-23T00:22:00.275,-603.560
2025-03-23T00:22:00.291,-589.680
2025-03-23T00:22:00.307,-589.680
2025-03-23T00:22:00.323,-588.560
2025-03-23T00:22:00.339,-588.560
2025-03-23T00:22:00.355,-600.220
2025-03-23T00:22:00.371,-600.220
2025-03-23T00:22:00.387,-606.340
2025-03-23T00:22:00.403,-612.440
2025-03-23T00:22:00.419,-612.440
2025-03-23T00:22:00.435,-621.340
2025-03-23T00:22:00.451,-621.340
2025-03-23T00:22:00.467,-630.780
2025-03-23T00:22:00.483,-630.780
2025-03-23T00:22:00.499,-630.780
2025-03-23T00:22:00.515,-630.780
2025-03-23T00:22:00.531,-630.780
2025-03-23T00:22:00.547,-630.780
2025-03-23T00:22:00.564,-655.220
2025-03-23T00:22:00.580,-655.220
2025-03-23T00:22:00.596,626.040
2025-03-23T00:22:00.612,626.040
2025-03-23T00:22:00.627,624.940
2025-03-23T00:22:00.643,639.940
2025-03-23T00:22:00.659,639.940
2025-03-23T00:22:00.691,654.380
2025-03-23T00:22:00.707,653.280
2025-03-23T00:22:00.723,653.280
2025-03-23T00:22:00.739,653.280
2025-03-23T00:22:00.755,653.280
2025-03-23T00:22:00.772,-648.560
2025-03-23T00:22:00.787,-648.560
2025-03-23T00:22:00.803,-647.440
2025-03-23T00:22:00.819,-647.440
2025-03-23T00:22:00.835,-646.340
2025-03-23T00:22:00.851,-646.340
2025-03-23T00:22:00.867,-645.220
2025-03-23T00:22:00.883,-653.000
2025-03-23T00:22:00.899,-653.000
2025-03-23T00:22:00.915,649.380
2025-03-23T00:22:00.931,649.380
2025-03-23T00:22:00.947,-648.560
2025-03-23T00:22:00.963,-648.560
2025-03-23T00:22:00.979,-635.780
2025-03-23T00:22:00.995,-635.780
2025-03-23T00:22:01.011,-624.120
2025-03-23T00:22:01.027,-624.120
2025-03-23T00:22:01.043,-615.780
2025-03-23T00:22:01.059,-615.780
2025-03-23T00:22:01.075,-627.440
2025-03-23T00:22:01.091,-627.440
2025-03-23T00:22:01.107,-650.780
2025-03-23T00:22:01.123,-650.780
2025-03-23T00:22:01.139,652.160
2025-03-23T00:22:01.155,-650.780
2025-03-23T00:22:01.171,-650.780
2025-03-23T00:22:01.187,-650.780
2025-03-23T00:22:01.203,-650.780
2025-03-23T00:22:01.219,-651.900
2025-03-23T00:22:01.235,-651.900
2025-03-23T00:22:01.251,-628.560
2025-03-23T00:22:01.267,-628.560
2025-03-23T00:22:01.283,-614.120
2025-03-23T00:22:01.299,-614.120
2025-03-23T00:22:01.315,-634.120
2025-03-23T00:22:01.331,-634.120
2025-03-23T00:22:01.347,-641.340
